Pool_ID,Site,Stage,Genus,Species,Amount
BP-01,BP,LATE,Culex,territans,16
BP-01,BP,LATE,Aedes,japonicus,19
BP-01,BP,PUPA,Aedes,japonicus,8
BP-03,BP,1,Aedes,NA,1
BP-05,BP,LATE,Culex,territans,1
BP-06,BP,LATE,Aedes,japonicus,6
BP-06,BP,2,Aedes,japonicus,2
BP-06,BP,1,Anopheles,NA,1
BP-06,BP,1,Aedes,NA,2
BP-07,BP,2,Aedes,japonicus,1
BP-07,BP,LATE,Aedes,japonicus,1
BP-08,BP,2,Aedes,japonicus,2
BP-10,BP,2,Aedes,atropalpus,4
BP-10,BP,2,Aedes,japonicus,3
BP-11,BP,1,Aedes,NA,1
BP-11,BP,2,Aedes,NA,1
BP-11,BP,LATE,Aedes,japonicus,1
BP-12,BP,1,Aedes,NA,1
BP-13,BP,LATE,Aedes,japonicus,2
BP-14,BP,1,Aedes,NA,1
BP-15,BP,LATE,Aedes,japonicus,18
BP-15,BP,2,Aedes,japonicus,5
BP-15,BP,LATE,Culex,territans,33
BP-17,BP,LATE,Aedes,japonicus,2
BP-17,BP,PUPA,Aedes,japonicus,8
BS-01,BS,LATE,Culex,restuans,12
BS-01,BS,LATE,Culex ,territans,7
BS-01,BS,LATE,Aedes,japonicus,6
BS-01,BS,2,Aedes,atropalpus,3
BS-01,BS,2,Culex,territans,9
BS-01,BS,2,Culex,restuans,2
BS-01,BS,2,Aedes,japonicus,8
BS-01,BS,1,Aedes ,japonicus,2
BS-01,BS,1,Culex,restuans,1
BS-01,BS,PUPA,Aedes,japonicus,2
BS-01,BS,PUPA,Aedes,atropalpus,4
BS-01,BS,PUPA,Culex,territans,3
BS-02,BS,LATE,Anopheles,puntipennis,1
BS-08,BS,LATE,Aedes,atropalpus,10
BS-11,BS,LATE,Aedes,atropalpus,32
BS-11,BS,2,Aedes,atropalpus,4
BS-11,BS,1,Aedes,atropalpus,1
BS-11,BS,PUPA,Aedes,atropalpus,5
BS-12,BS,1,Aedes,atropalpus,2
BS-12,BS,2,Aedes,atropalpus,2
BS-12,BS,LATE,Aedes,atropalpus,35
BS-15,BS,LATE,Aedes,atropalpus,1
BS-16,BS,LATE,Aedes,japonicus,14
BS-16,BS,LATE,Aedes,atropalpus,1
BS-16,BS,PUPA,Aedes,japonicus,2
BS-17,BS,2,Aedes,japonicus,2
BS-17,BS,2,Aedes,atropalpus,2
BS-17,BS,LATE,Aedes,japonicus,39
BS-17,BS,LATE,Aedes,atropalpus,42
BS-19,BS,2,Aedes,atropalpus,8
BS-20,BS,2,Aedes,atropalpus,2
BS-20,BS,LATE,Aedes,atropalpus,13
BS-20,BS,PUPA,Aedes,atropalpus,2
BS-22,BS,LATE,Aedes,atropalpus,12
BS-22,BS,PUPA,Aedes,atropalpus,1
BS-RIVER_1,BS,2,Aedes,atropalpus,2
CR-01A,CR,LATE,Aedes,atropalpus,5
CR-01A,CR,LATE,Anopheles,puntipennis,1
CR-01A,CR,PUPA,Aedes,atropalpus,20
CR-01B,CR,2,Aedes,atropalpus,4
CR-01B,CR,Late,Aedes,atropalpus,21
CR-01B,CR,2,Aedes,japonicus,1
CR-01B,CR,2,Anopheles,puntipennis,1
CR-02A,CR,PUPA,Aedes,atropalpus,1
CR-02B,CR,1,Aedes,atropalpus,1
CR-02B,CR,2,Aedes,atropalpus,4
CR-02B,CR,Late,Aedes,atropalpus,5
CR-02B,CR,2,Aedes,japonicus,3
CR-02B,CR,Late,Aedes,japonicus,3
CR-02B,CR,1,Anopheles,puntipennis,4
CR-03A,CR,1,Aedes,atropalpus,1
CR-03A,CR,LATE,Aedes,atropalpus,10
CR-03B,CR,LATE,Aedes,japonicus,16
CR-03B,CR,LATE,Aedes,atropalpus,1
CR-03B,CR,-,Anopheles,puntipennis,2
CR-05A,CR,LATE,Aedes,japonicus,5
CR-05A,CR,LATE,Aedes,atropalpus,4
RG-01,RG,LATE,Aedes,atropalpus,20
RG-01,RG,LATE,Aedes,japonicus,6
RG-08,RG,LATE,Anopheles,punctipennis,3
RG-08,RG,2,Anopheles,punctipennis,1
RG-08,RG,2,Culex,territans,11
RG-08,RG,PUPA,Aedes,japonicus,1
RG-09,RG,LATE,Aedes,atropalpus,5
RG-09,RG,2,Aedes,atropalpus,1
RG-12,RG,LATE,Aedes,japonicus,71
RG-12,RG,LATE,Aedes,atropalpus,60
RG-13,RG,LATE,Aedes,japonicus,691
RG-13,RG,2,Aedes,japonicus,50
RG-13,RG,LATE,Aedes,atropalpus,15
RG-13,RG,1,Aedes,NA,21
RG-13,RG,2,Anopheles,puntipennis,1
RG-13,RG,LATE,Anopheles,puntipennis,2
RG-13,RG,LATE,Culex,restuans,4
RG-13,RG,2,Culex,territans,1
RG-14,RG,LATE,Aedes,japonicus,117
RG-14,RG,LATE,Aedes,atropalpus,1
UWFPR-01,UWFPR,LATE,Aedes,japonicus,1
UWFPR-01,UWFPR,Pupa,Aedes,NA,5
UWFPR-05,UWFPR,LATE,Aedes,japonicus,7
UWFPR-06,UWFPR,2,Aedes,japonicus,3
UWFPR-11,UWFPR,2,Aedes,japonicus,31
UWFPR-12,UWFPR,2,Aedes,japonicus,19
UWFPR-13,UWFPR,LATE,Aedes,japonicus,55
UWFPR-15,UWFPR,LATE,Culex,territans,21
WS-01,WS,LATE,Celux,territans,1
WS-01,WS,LATE,Aedes,atropalpus,2
WS-03,WS,LATE,Aedes,atropalpus,9
WS-03,WS,LATE,Aedes,japonicus,2
WS-04,WS,LATE,Culex,territans,4
WS-04,WS,LATE,Anopheles,puntipennis,7
WS-07,WS,2,Aedes,atropalpus,1
WS-11,WS,2,Aedes,japonicus,1
WS-11,WS,LATE,Aedes,atropalpus,1
WS-12,WS,2,Aedes,atropalpus,2
WS-12,WS,LATE,Aedes,atropalpus,2
WS-12,WS,2,Aedes,japonicus,1
WS-12,WS,LATE,Aedes,japonicus,2
WS-22,WS,Late,Aedes,atropalpus,3
WS-24,WS,1,Anopheles,puntipennis,7
WS-24,WS,2,Anopheles,puntipennis,1
WS-24,WS,LATE,Anopheles,puntipennis,2
WS-27,WS,2,Aedes,atropalpus,5
WS-27,WS,Late,Aedes,atropalpus,8
WS-27,WS,2,Aedes ,japonicus,2
WS-27,WS,Late,Aedes,japonicus,1
WS-27,WS,2,Anopheles,puntipennis,2
WW-03,WW,2,Aedes,japonicus,3
WW-03,WW,LATE,Aedes,japonicus,16
WW-17,WW,2,Aedes,japonicus,7
WW-17,WW,LATE,Aedes,japonicus,42
WW-17,WW,2,Aedes,atropalpus,9
WW-21,WW,Late,Aedes,atropalpus,1
WW-27,WW,LATE,Aedes,japonicus,159
WW-27,WW,2,Aedes,japonicus,4
WW-27,WW,LATE,Aedes,atropalpus,21
WW-27,WW,LATE,Anopheles,puntipennis,1
WW-27,WW,LATE,Culex,territans,1
WW-29,WW,LATE,Aedes,japonicus,38
