Pool_ID,Site,Lat,Long,Length,Width,Area,Avg_Depth,Volume,Avg_Lip,Temperature,DissOx,Chlorophyll,Turbidity,PCT_EmgVeg,PCT_SAV,Bottom_Type,Densiometer,Fish_Visible,Physid_Snail,Pleurocerid_Snail,Viviparid_Snail,Planorbid_Snail,Other_Snail,Asian_Clam,Fingernail_or_Pea_Clam,Leech,Worm,Flatworm,Nematode,Bloodworm,MosquitoLarvae,Other_Dipteran,Water_Scavenger_Beetle,Predacious_Diving_Beetle,Crawling_Water_Beetle,Whirligig_Beetle,Riffle_Beetle,Other_Beetle,Water_Boatman,Backswimmer,Water_Bug,Water_Strider,Skimmer_Dragonfly,Darner_Dragonfly,Caddisfly,Stonefly,Damselfly,Small_Squaregill_Mayfly,Small_Minnow_Mayfly,Other_Mayfly,Water_Mite,Spiders,Aquatic_Sow_Bug,Sideswimmer,Crayfish,Tadpoles,Fish
BE-028,BE,4159112.695,813150.5601,61.5,53,2560.005314,26.7,68352.14187,9.25,NA,NA,NA,NA,0,0,SM_STONE,NA,0,10,6,4,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
BE-062,BE,4159197.079,813153.3958,45,51,1802.488785,40.5,73000.79579,3.875,NA,NA,NA,NA,0,0,ORGANIC,NA,0,130,0,0,0,0,0,0,0,1,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
BE-074,BE,4159164.199,813178.1676,77,63,3809.966491,16,60959.46385,47.75,NA,NA,NA,NA,0,0,MUD,NA,1,25,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42,0,0,6
BE-084,BE,4159170.94,813187.1272,98,61,4695.110221,32.5,152591.0822,11.5,NA,NA,NA,NA,0,0,SAND,NA,0,43,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
BE-152,BE,4159115.495,813259.6098,113,75,6656.249435,45.375,302027.3181,16.75,NA,NA,NA,NA,0,10,LG_STONE,NA,0,16,0,0,10,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BE-161,BE,4159121.384,813268.7351,54,47,1993.340539,14.375,28654.27024,18.25,NA,NA,NA,NA,0,0,MUD,NA,0,68,0,0,2,0,0,0,0,0,9,2,42,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,27,0,4,0
BE-193,BE,4159137.115,813264.4868,71,69,3847.665602,38.125,146692.2511,14,NA,NA,NA,NA,10,0,MUD,NA,0,4,0,0,0,0,0,0,0,0,0,0,65,336,0,3,7,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,2,0,19,0
BE-324,BE,4159214.424,813285.0939,58,39,1776.570646,13.875,24649.91771,12.5,NA,NA,NA,NA,0,0,ROCK,NA,0,0,0,0,0,0,0,0,0,0,0,0,119,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-345,BE,4159211.633,813377.4321,64,52,2613.805088,6.5,16989.73307,19.5,NA,NA,NA,NA,10,0,MUD,NA,0,10,1,0,0,0,1,3,0,0,0,4,31,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0
BE-359,BE,4159168.381,813317.963,132,43,4457.919975,20.75,92501.83949,10.75,NA,NA,NA,NA,0,20,MUD,NA,0,137,0,0,0,0,0,0,0,5,0,0,215,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-361,BE,4159148.508,813316.9294,55,46,1987.057353,10,19870.57353,19.75,NA,NA,NA,NA,0,100,MUD,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-365,BE,4159151.904,813298.6379,23,20,361.2831552,9.25,3341.869185,18,NA,NA,NA,NA,0,0,MUD,NA,0,1,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-378,BE,4159190.347,813310.9181,65,54,2756.747554,16.625,45830.92808,28.75,NA,NA,NA,NA,50,0,SM_STONE,NA,0,51,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-400,BE,4159123.86,813160.0571,35,19,522.2897787,3.5,1828.014225,12.75,NA,NA,NA,NA,0,0,MUD,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-425,BE,4159157.494,813195.1693,111,89,7758.948456,39.75,308418.2011,26.5,NA,NA,NA,NA,10,0,LG_STONE,NA,0,0,1,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
BE-488,BE,4159183.464,813121.3565,123,86,8307.941772,36.5,303239.8747,12,NA,NA,NA,NA,0,10,MUD,NA,0,47,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-489,BE,4159174.416,813126.3901,67,49,2578.46217,12.5,32230.77713,7,NA,NA,NA,NA,80,0,MUD,NA,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-495,BE,4159166.949,813123.1367,85,58,3872.012946,21.6,83635.47962,4.875,NA,NA,NA,NA,0,0,MUD,NA,0,3,0,0,0,0,0,0,0,7,1,0,40,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0
BE-664,BE,4159144.331,813295.8782,212,120,19980.52928,28,559454.8198,19.25,NA,NA,NA,NA,40,0,SM_STONE,NA,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE-717,BE,4159200.011,813352.4996,70,65,3573.561643,10.5,37522.39726,17.5,NA,NA,NA,NA,0,10,LG_STONE,NA,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-01,BP,NA,NA,64,39.4,1980.460009,41.9,82981.27437,23.25,NA,NA,0.046,3.5645,0,0,SM_STONE,94,0,0,0,0,0,0,0,0,0,0,0,0,82,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
BP-02,BP,NA,NA,143,68,30533.36,57.125,1744218.19,62.5,18.9,5.77,0.046,5.159,0,0,LEAFLITTER,84,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BP-03,BP,NA,NA,84.5,85,22553.05,82.425,1858935.146,9.05,19.7,7.23,0.073,1.861,0,0,SAND,87,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-04,BP,NA,NA,55.7,26.5,4634.797,28.975,134293.2431,28.625,19.9,8.09,0.039,3.139,0,0,SAND,100,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BP-05,BP,NA,NA,132.2,73.5,30510.438,16.175,493506.3347,70.05,21.2,8.14,0.042,2.749,0,0,SAND,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-06,BP,NA,NA,100,95,29830,15.625,466093.75,35.125,19.4,9.9,0.113,2.098,0,0,ROCK,80,0,0,0,0,0,0,0,0,0,0,0,0,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-07,BP,NA,NA,64.5,43.5,8810.055,67.725,596660.9749,14.375,20.9,7.47,0.036,3.674,0,0,SM_STONE,68,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BP-08,BP,NA,NA,82,35,9011.8,51.125,460728.275,9.25,19.3,6.98,0.048,2.098,0,0,SAND,96,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-09,BP,NA,NA,43,27,3645.54,12.75,46480.635,12.025,20.6,11.05,0.051,1.745,0,0,ROCK,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-10,BP,NA,NA,74,56,13012.16,19.85,258291.376,19.8,20.5,9.81,0.06,1.675,0,0,ROCK,30,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-11,BP,NA,NA,72,50,11304,58.225,658175.4,17.075,19.9,9.4,0.044,2.654,0,0,SAND,51,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-12,BP,NA,NA,39,37,4531.02,11.5,52106.73,16.75,21.5,10.1,0.038,1.519,0,0,ROCK,37,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-13,BP,NA,NA,106,45.6,15177.504,9.075,137735.8488,29.375,19.1,6.12,0.047,2.171,0,0,ROCK,94,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BP-14,BP,NA,NA,36,32,3617.28,7.75,28033.92,10.25,22.2,6.99,0.061,4.799,0,0,SAND,92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-15,BP,NA,NA,18,18,1017.36,6.125,6231.33,2.625,20.5,4.76,0.067,3.424,0,0,LEAFLITTER,96,0,0,0,0,0,0,0,0,0,2,0,0,19,216,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-16,BP,NA,NA,73,58,13294.76,43.75,581645.75,15.5,19.5,9.08,0.045,6.776,0,0,SAND,41,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BP-17,BP,NA,NA,143,112,50290.24,129.5,6512586.08,12.75,18.7,5.99,0.035,1.99,0,0,ROCK,96,0,0,0,0,0,0,0,0,0,3,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
BS-01,BS,3855248.486,289240.8776,150,38.5,18133.5,1.5,27200.25,21.25,26.5,2.3,0.363,5.389,0,0,LEAFLITTER,76,0,0,0,0,0,0,0,0,0,0,0,0,80,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-02,BS,3855254.52,289249.8653,940,220,649352,49.75,32305262,109.25,20.1,7,0.021,3.191,0,0,MUD/SILT,38,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
BS-04,BS,3855240.538,289238.729,46,37,5344.28,1.875,10020.525,9.375,31.7,4.3,0.129,2.146,0,0,MUD/SILT,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-05,BS,3855238.105,289236.4811,49,27,4154.22,1.2,4985.064,1.75,28.5,NA,0.113,3.452,0,0,MUD/SILT,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-06,BS,3855224.253,289239.53,200,176.5,110842,5.75,637341.5,6.075,30,7.27,0.035,1.707,0,0,SAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-08,BS,3855221.209,289234.0774,77.47,85.9,20895.67322,27.145,567213.0496,18.2575,28,7.7,0.15,2.148,0,0,MUD/SILT,0,0,0,0,0,0,0,0,0,0,0,0,0,71,48,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
BS-11,BS,3855218.641,289248.8344,84,36,9495.36,19.55,185634.288,25.475,27.3,6.95,0.024,1.496,0,0,ROCK,0,0,0,0,0,0,0,0,0,0,0,0,0,169,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-12,BS,3855215.238,289241.3778,205,139,89474.3,13.85,1239219.055,69,26.3,6.32,0.079,1.863,10,0,SAND,4,0,0,0,0,0,0,0,0,0,0,0,1,229,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-13,BS,3855216.175,289249.8116,56,51,8967.84,19,170388.96,23.75,26.8,6.34,0.063,2.172,0,0,ROCK,2,0,0,0,0,0,0,0,0,0,0,0,0,27,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-15,BS,3855213.166,289246.908,180,131,74041.2,81,5997337.2,58.25,24.7,8.03,0.029,1.996,0,0,MUD/SILT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-16,BS,3855212.598,289245.5881,49,41,6308.26,78.125,492832.8125,27.25,34.2,3.92,0.016,1.844,0,0,MUD/SILT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-17,BS,3855213.945,289246.0105,89,52,14531.92,10.375,150768.67,38,28.3,8.52,0.02,1.206,60,0,MUD/SILT,36,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS-19,BS,3855214.527,289234.5335,116.84,53.34,19642.6267,4.925,96739.93652,48.89,31.1,7.53,0.041,1.38,0,0,ROCK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
