Pool_ID,Site,lat,long
BE-028,BE,4159112.695,813150.5601
BE-062,BE,4159197.079,813153.3958
BE-074,BE,4159164.199,813178.1676
BE-084,BE,4159170.94,813187.1272
BE-152,BE,4159115.495,813259.6098
BE-161,BE,4159121.384,813268.7351
BE-193,BE,4159137.115,813264.4868
BE-324,BE,4159214.424,813285.0939
BE-345,BE,4159211.633,813377.4321
BE-359,BE,4159168.381,813317.963
BE-361,BE,4159148.508,813316.9294
BE-365,BE,4159151.904,813298.6379
BE-378,BE,4159190.347,813310.9181
BE-400,BE,4159123.86,813160.0571
BE-425,BE,4159157.494,813195.1693
BE-488,BE,4159183.464,813121.3565
BE-489,BE,4159174.416,813126.3901
BE-495,BE,4159166.949,813123.1367
BE-664,BE,4159144.331,813295.8782
BE-717,BE,4159200.011,813352.4996
BS-01,BS,3855248.486,289240.8776
BS-02,BS,3855254.52,289249.8653
BS-03,BS,3855252.505,289248.0911
BS-04,BS,3855240.538,289238.729
BS-05,BS,3855238.105,289236.4811
BS-06,BS,3855224.253,289239.53
BS-08,BS,3855221.209,289234.0774
BS-11,BS,3855218.641,289248.8344
BS-12,BS,3855215.238,289241.3778
BS-13,BS,3855216.175,289249.8116
BS-14,BS,3855213.404,289249.5609
BS-15,BS,3855213.166,289246.908
BS-16,BS,3855212.598,289245.5881
BS-17,BS,3855213.945,289246.0105
BS-18,BS,3855211.661,289233.4586
BS-19,BS,3855214.527,289234.5335
BS-20,BS,3855241.741,289277.0139
BS-21,BS,3855238.745,289278.0276
BS-22,BS,3855238.61,289276.9125
RG-01,RG,3860849.075,295531.5424
RG-02,RG,3860847.625,295532.5967
RG-03,RG,3860845.603,295532.823
RG-04,RG,3860845.118,295531.4733
RG-05,RG,3860844.146,295531.9411
RG-06,RG,3860844.812,295530.5556
RG-08,RG,3860839.234,295524.9085
RG-09,RG,3860838.986,295526.752
RG-10,RG,3860840.596,295526.3144
RG-11,RG,3860838.575,295523.942
RG-12,RG,3860831.451,295521.8316
RG-13,RG,3860827.177,295520.6506
RG-14,RG,3860828.418,295523.3397
RG-15,RG,3860849.206,295532.9042
UWFPR-01,UWFPR,3911276.504,326564.5114
UWFPR-02,UWFPR,3911285.447,326563.2888
UWFPR-03,UWFPR,3911283.786,326569.0562
UWFPR-04,UWFPR,3911285.182,326563.7008
UWFPR-05,UWFPR,3911282.956,326563.3685
UWFPR-06,UWFPR,3911281.86,326569.6303
UWFPR-07,UWFPR,3911283.281,326564.0197
UWFPR-08,UWFPR,3911289.913,326562.6443
UWFPR-09,UWFPR,3911290.012,326563.7008
UWFPR-10,UWFPR,3911274.789,326566.5514
UWFPR-11,UWFPR,3911275.268,326565.0098
UWFPR-12,UWFPR,3911277.128,326569.1894
UWFPR-13,UWFPR,3911273.673,326562.425
UWFPR-14,UWFPR,3911291.534,326564.5646
UWFPR-15,UWFPR,3911275.381,326561.3685
UWFPR-16,UWFPR,3911277.401,326565.3022
WS-01,WS,3853121.887,288250.5954
WS-02,WS,3853123.747,288252.1372
WS-03,WS,3853126.417,288251.6778
WS-04,WS,3853128.247,288254.1259
WS-05,WS,3853126.723,288255.3129
WS-06,WS,3853121.92,288255.2536
WS-07,WS,3853110.934,288248.8165
WS-08,WS,3853120.652,288257.1543
WS-09,WS,3853113.259,288261.2565
WS-10,WS,3853111.567,288261.6745
WS-11,WS,3853109.17,288260.9679
WS-12,WS,3853108.844,288259.9054
WS-13,WS,3853106.025,288259.7117
WS-14,WS,3853108.828,288262.6519
WS-15,WS,3853107.548,288262.6802
WS-16,WS,3853107.84,288263.8964
WS-17,WS,3853103.803,288262.6719
WS-18,WS,3853104.487,288263.5058
WS-19,WS,3853138.673,288255.497
WS-20,WS,3853093.209,288256.5928
WS-21,WS,3853101.48,288253.6735
WS-22,WS,3853095.968,288237.0938
WS-23,WS,3853101.818,288243.7801
WS-24,WS,3853110.73,288241.8804
WS-25,WS,3853117.431,288245.4425
WW-02,WW,4147279.271,-9265779.757
WW-03,WW,4147282.398,-9265780.798
WW-04,WW,4147281.628,-9265779.088
WW-05,WW,4147282.308,-9265779.013
WW-06,WW,4147277.684,-9265779.311
WW-07,WW,4147293.191,-9265777.774
WW-08,WW,4147292.494,-9265778.464
WW-01,WW,4147291.16,-9265778.464
WW-09,WW,4147291.174,-9265779.42
WW-10,WW,4147293.948,-9265782.51
WW-11,WW,4147297.52,-9265782.442
WW-12,WW,4147295.582,-9265782.51
WW-13,WW,4147292.927,-9265785.861
WW-14,WW,4147293.187,-9265785.344
WW-15,WW,4147298.479,-9265783.485
WW-16,WW,4147298.052,-9265785.069
WW-17,WW,4147287.17,-9265789.568
WW-18,WW,4147286.932,-9265788.593
WW-19,WW,4147289.998,-9265791.907
WW-22,WW,4147289.622,-9265792.883
WW-23,WW,4147288.025,-9265792.629
WW-24,WW,4147288.762,-9265789.139
WW-25,WW,4147289.047,-9265792.228
WW-26,WW,4147284.937,-9265793.182
WW-27,WW,4147285.345,-9265796.306
WW-28,WW,4147283.894,-9265794.223
WW-29,WW,4147280.993,-9265790.876
